[2021-09-09 09:43:46,508], ## Epoch 1/500 Loss:104.574, MAE:325.64, MSE:517.23, Best MAE:372.95
[2021-09-09 09:49:36,125], ## Epoch 2/500 Loss:93.848, MAE:100.77, MSE:151.07, Best MAE:325.64
[2021-09-09 09:55:23,607], ## Epoch 3/500 Loss:73.176, MAE:126.54, MSE:212.30, Best MAE:100.77
[2021-09-09 10:01:14,917], ## Epoch 4/500 Loss:72.173, MAE:209.00, MSE:260.50, Best MAE:100.77
[2021-09-09 10:07:08,739], ## Epoch 5/500 Loss:66.007, MAE:143.02, MSE:222.35, Best MAE:100.77
[2021-09-09 10:13:03,928], ## Epoch 6/500 Loss:68.405, MAE:104.84, MSE:176.43, Best MAE:100.77
[2021-09-09 10:19:08,449], ## Epoch 7/500 Loss:62.104, MAE:148.16, MSE:236.22, Best MAE:100.77
[2021-09-09 10:25:06,845], ## Epoch 8/500 Loss:56.365, MAE:235.52, MSE:378.27, Best MAE:100.77
[2021-09-09 10:31:03,005], ## Epoch 9/500 Loss:60.082, MAE:103.91, MSE:166.81, Best MAE:100.77
[2021-09-09 10:37:01,037], ## Epoch 10/500 Loss:66.461, MAE:94.91, MSE:143.50, Best MAE:100.77
[2021-09-09 10:43:07,133], ## Epoch 11/500 Loss:56.538, MAE:94.25, MSE:135.21, Best MAE:94.91
[2021-09-09 10:49:08,781], ## Epoch 12/500 Loss:53.906, MAE:80.62, MSE:116.47, Best MAE:94.25
[2021-09-09 10:55:12,855], ## Epoch 13/500 Loss:49.159, MAE:109.13, MSE:165.96, Best MAE:80.62
[2021-09-09 11:01:17,504], ## Epoch 14/500 Loss:47.359, MAE:116.80, MSE:181.48, Best MAE:80.62
[2021-09-09 11:07:19,088], ## Epoch 15/500 Loss:55.607, MAE:102.15, MSE:151.78, Best MAE:80.62
[2021-09-09 11:13:24,436], ## Epoch 16/500 Loss:54.195, MAE:73.64, MSE:110.99, Best MAE:80.62
[2021-09-09 11:19:27,357], ## Epoch 17/500 Loss:52.515, MAE:326.25, MSE:496.41, Best MAE:73.64
[2021-09-09 11:25:29,896], ## Epoch 18/500 Loss:47.202, MAE:110.62, MSE:161.06, Best MAE:73.64
[2021-09-09 11:31:34,465], ## Epoch 19/500 Loss:53.541, MAE:98.93, MSE:149.28, Best MAE:73.64
[2021-09-09 11:37:39,638], ## Epoch 20/500 Loss:45.051, MAE:82.13, MSE:123.40, Best MAE:73.64
[2021-09-09 11:43:41,597], ## Epoch 21/500 Loss:46.160, MAE:92.81, MSE:142.07, Best MAE:73.64
[2021-09-09 11:49:48,421], ## Epoch 22/500 Loss:43.877, MAE:81.40, MSE:119.64, Best MAE:73.64
[2021-09-09 11:55:53,021], ## Epoch 23/500 Loss:48.065, MAE:99.99, MSE:152.96, Best MAE:73.64
[2021-09-09 12:01:56,010], ## Epoch 24/500 Loss:50.178, MAE:111.91, MSE:149.18, Best MAE:73.64
[2021-09-09 12:07:58,257], ## Epoch 25/500 Loss:45.552, MAE:106.91, MSE:162.20, Best MAE:73.64
[2021-09-09 12:14:01,761], ## Epoch 26/500 Loss:50.202, MAE:106.78, MSE:161.90, Best MAE:73.64
[2021-09-09 12:20:05,693], ## Epoch 27/500 Loss:47.473, MAE:96.36, MSE:133.44, Best MAE:73.64
[2021-09-09 12:26:10,493], ## Epoch 28/500 Loss:45.640, MAE:90.54, MSE:141.81, Best MAE:73.64
[2021-09-09 12:32:12,274], ## Epoch 29/500 Loss:47.353, MAE:152.44, MSE:255.94, Best MAE:73.64
[2021-09-09 12:38:16,263], ## Epoch 30/500 Loss:52.290, MAE:85.23, MSE:127.19, Best MAE:73.64
[2021-09-09 12:44:20,099], ## Epoch 31/500 Loss:42.973, MAE:96.92, MSE:148.81, Best MAE:73.64
[2021-09-09 12:50:24,709], ## Epoch 32/500 Loss:42.732, MAE:96.57, MSE:147.16, Best MAE:73.64
[2021-09-09 12:56:31,234], ## Epoch 33/500 Loss:45.010, MAE:86.86, MSE:132.13, Best MAE:73.64
[2021-09-09 13:02:34,645], ## Epoch 34/500 Loss:41.086, MAE:71.79, MSE:119.96, Best MAE:73.64
[2021-09-09 13:08:40,405], ## Epoch 35/500 Loss:41.636, MAE:99.47, MSE:143.15, Best MAE:71.79
[2021-09-09 13:14:43,517], ## Epoch 36/500 Loss:42.873, MAE:73.18, MSE:113.92, Best MAE:71.79
[2021-09-09 13:20:49,716], ## Epoch 37/500 Loss:41.516, MAE:85.84, MSE:119.88, Best MAE:71.79
[2021-09-09 13:26:55,713], ## Epoch 38/500 Loss:37.797, MAE:88.05, MSE:128.78, Best MAE:71.79
[2021-09-09 13:32:59,604], ## Epoch 39/500 Loss:42.451, MAE:89.46, MSE:166.59, Best MAE:71.79
[2021-09-09 13:39:03,446], ## Epoch 40/500 Loss:39.839, MAE:70.54, MSE:107.01, Best MAE:71.79
[2021-09-09 13:45:09,445], ## Epoch 41/500 Loss:36.701, MAE:150.29, MSE:226.53, Best MAE:70.54
[2021-09-09 13:51:11,461], ## Epoch 42/500 Loss:40.295, MAE:79.25, MSE:115.78, Best MAE:70.54
[2021-09-09 13:57:13,805], ## Epoch 43/500 Loss:43.025, MAE:94.48, MSE:136.02, Best MAE:70.54
[2021-09-09 14:03:15,341], ## Epoch 44/500 Loss:39.200, MAE:80.40, MSE:126.09, Best MAE:70.54
[2021-09-09 14:09:18,276], ## Epoch 45/500 Loss:36.227, MAE:76.61, MSE:114.00, Best MAE:70.54
[2021-09-09 14:15:25,277], ## Epoch 46/500 Loss:32.840, MAE:73.86, MSE:110.04, Best MAE:70.54
[2021-09-09 14:21:30,529], ## Epoch 47/500 Loss:38.839, MAE:139.89, MSE:212.94, Best MAE:70.54
[2021-09-09 14:27:34,589], ## Epoch 48/500 Loss:41.694, MAE:76.03, MSE:113.66, Best MAE:70.54
[2021-09-09 14:33:33,826], ## Epoch 49/500 Loss:36.880, MAE:90.95, MSE:148.94, Best MAE:70.54
[2021-09-09 14:39:20,177], ## Epoch 50/500 Loss:34.261, MAE:76.60, MSE:117.45, Best MAE:70.54
[2021-09-09 14:45:06,077], ## Epoch 51/500 Loss:32.358, MAE:99.46, MSE:149.63, Best MAE:70.54
[2021-09-09 14:50:50,463], ## Epoch 52/500 Loss:34.168, MAE:74.33, MSE:110.99, Best MAE:70.54
[2021-09-09 14:56:43,814], ## Epoch 53/500 Loss:34.188, MAE:76.77, MSE:124.24, Best MAE:70.54
[2021-09-09 15:02:45,149], ## Epoch 54/500 Loss:37.385, MAE:86.04, MSE:128.91, Best MAE:70.54
[2021-09-09 15:08:51,556], ## Epoch 55/500 Loss:32.136, MAE:100.26, MSE:153.63, Best MAE:70.54
[2021-09-09 15:14:58,275], ## Epoch 56/500 Loss:30.927, MAE:71.92, MSE:118.00, Best MAE:70.54
[2021-09-09 15:21:05,612], ## Epoch 57/500 Loss:31.214, MAE:86.96, MSE:126.55, Best MAE:70.54
[2021-09-09 15:27:12,172], ## Epoch 58/500 Loss:32.334, MAE:74.86, MSE:114.61, Best MAE:70.54
[2021-09-09 15:33:18,320], ## Epoch 59/500 Loss:36.927, MAE:103.60, MSE:153.04, Best MAE:70.54
[2021-09-09 15:39:24,180], ## Epoch 60/500 Loss:32.839, MAE:150.96, MSE:198.11, Best MAE:70.54
[2021-09-09 15:45:27,061], ## Epoch 61/500 Loss:34.800, MAE:92.31, MSE:140.22, Best MAE:70.54
[2021-09-09 15:51:29,990], ## Epoch 62/500 Loss:30.998, MAE:75.92, MSE:110.14, Best MAE:70.54
[2021-09-09 15:57:35,469], ## Epoch 63/500 Loss:33.596, MAE:138.73, MSE:228.26, Best MAE:70.54
[2021-09-09 16:03:40,109], ## Epoch 64/500 Loss:34.984, MAE:100.46, MSE:164.25, Best MAE:70.54
[2021-09-09 16:09:42,989], ## Epoch 65/500 Loss:34.742, MAE:124.10, MSE:161.84, Best MAE:70.54
[2021-09-09 16:15:48,759], ## Epoch 66/500 Loss:32.464, MAE:105.20, MSE:148.20, Best MAE:70.54
[2021-09-09 16:21:50,873], ## Epoch 67/500 Loss:30.616, MAE:98.31, MSE:152.63, Best MAE:70.54
[2021-09-09 16:27:56,818], ## Epoch 68/500 Loss:29.670, MAE:79.52, MSE:115.30, Best MAE:70.54
[2021-09-09 16:33:59,460], ## Epoch 69/500 Loss:30.150, MAE:88.48, MSE:130.38, Best MAE:70.54
[2021-09-09 16:40:03,590], ## Epoch 70/500 Loss:31.688, MAE:87.04, MSE:126.41, Best MAE:70.54
[2021-09-09 16:46:07,565], ## Epoch 71/500 Loss:30.103, MAE:121.30, MSE:182.38, Best MAE:70.54
[2021-09-09 16:52:09,828], ## Epoch 72/500 Loss:29.307, MAE:72.06, MSE:108.62, Best MAE:70.54
[2021-09-09 16:58:11,561], ## Epoch 73/500 Loss:26.279, MAE:70.17, MSE:111.03, Best MAE:70.54
[2021-09-09 17:04:13,719], ## Epoch 74/500 Loss:29.575, MAE:71.41, MSE:105.02, Best MAE:70.17
[2021-09-09 17:10:17,221], ## Epoch 75/500 Loss:28.889, MAE:128.57, MSE:192.87, Best MAE:70.17
[2021-09-09 17:16:20,813], ## Epoch 76/500 Loss:32.268, MAE:70.79, MSE:108.64, Best MAE:70.17
[2021-09-09 17:22:25,997], ## Epoch 77/500 Loss:26.038, MAE:77.63, MSE:115.33, Best MAE:70.17
[2021-09-09 17:28:29,463], ## Epoch 78/500 Loss:27.657, MAE:77.99, MSE:114.13, Best MAE:70.17
[2021-09-09 17:34:32,290], ## Epoch 79/500 Loss:29.031, MAE:73.32, MSE:108.59, Best MAE:70.17
[2021-09-09 17:40:34,685], ## Epoch 80/500 Loss:26.572, MAE:74.76, MSE:120.11, Best MAE:70.17
[2021-09-09 17:46:37,621], ## Epoch 81/500 Loss:28.616, MAE:71.16, MSE:105.81, Best MAE:70.17
[2021-09-09 17:52:41,890], ## Epoch 82/500 Loss:25.570, MAE:143.59, MSE:213.13, Best MAE:70.17
[2021-09-09 17:58:47,749], ## Epoch 83/500 Loss:28.076, MAE:77.37, MSE:110.52, Best MAE:70.17
[2021-09-09 18:04:49,964], ## Epoch 84/500 Loss:29.057, MAE:79.70, MSE:113.15, Best MAE:70.17
[2021-09-09 18:10:52,364], ## Epoch 85/500 Loss:27.274, MAE:84.13, MSE:121.18, Best MAE:70.17
[2021-09-09 18:16:57,443], ## Epoch 86/500 Loss:29.780, MAE:86.25, MSE:125.09, Best MAE:70.17
[2021-09-09 18:22:57,926], ## Epoch 87/500 Loss:25.963, MAE:71.73, MSE:108.78, Best MAE:70.17
[2021-09-09 18:29:03,250], ## Epoch 88/500 Loss:28.507, MAE:72.27, MSE:110.11, Best MAE:70.17
[2021-09-09 18:35:05,609], ## Epoch 89/500 Loss:24.133, MAE:79.46, MSE:113.66, Best MAE:70.17
[2021-09-09 18:41:09,685], ## Epoch 90/500 Loss:24.576, MAE:81.90, MSE:116.04, Best MAE:70.17
[2021-09-09 18:47:10,740], ## Epoch 91/500 Loss:24.445, MAE:76.40, MSE:119.09, Best MAE:70.17
[2021-09-09 18:53:14,161], ## Epoch 92/500 Loss:25.014, MAE:70.16, MSE:110.96, Best MAE:70.17
[2021-09-09 18:59:17,165], ## Epoch 93/500 Loss:27.361, MAE:86.96, MSE:125.81, Best MAE:70.16
[2021-09-09 19:05:20,297], ## Epoch 94/500 Loss:26.931, MAE:85.07, MSE:127.76, Best MAE:70.16
[2021-09-09 19:11:22,217], ## Epoch 95/500 Loss:29.798, MAE:81.77, MSE:135.56, Best MAE:70.16
[2021-09-09 19:17:26,486], ## Epoch 96/500 Loss:28.222, MAE:70.92, MSE:106.42, Best MAE:70.16
[2021-09-09 19:23:25,621], ## Epoch 97/500 Loss:22.809, MAE:73.98, MSE:115.36, Best MAE:70.16
[2021-09-09 19:29:31,282], ## Epoch 98/500 Loss:25.090, MAE:74.85, MSE:111.01, Best MAE:70.16
[2021-09-09 19:35:34,498], ## Epoch 99/500 Loss:25.662, MAE:75.74, MSE:112.83, Best MAE:70.16
[2021-09-09 19:41:39,544], ## Epoch 100/500 Loss:30.697, MAE:112.97, MSE:161.23, Best MAE:70.16
[2021-09-09 19:47:41,222], ## Epoch 101/500 Loss:26.828, MAE:104.77, MSE:150.01, Best MAE:70.16
[2021-09-09 19:53:44,437], ## Epoch 102/500 Loss:26.193, MAE:81.83, MSE:139.36, Best MAE:70.16
[2021-09-09 19:59:46,637], ## Epoch 103/500 Loss:27.107, MAE:79.09, MSE:115.33, Best MAE:70.16
[2021-09-09 20:05:50,018], ## Epoch 104/500 Loss:27.285, MAE:72.59, MSE:107.18, Best MAE:70.16
[2021-09-09 20:11:55,338], ## Epoch 105/500 Loss:25.648, MAE:86.10, MSE:124.78, Best MAE:70.16
[2021-09-09 20:17:58,692], ## Epoch 106/500 Loss:23.524, MAE:92.47, MSE:128.90, Best MAE:70.16
[2021-09-09 20:24:03,257], ## Epoch 107/500 Loss:27.257, MAE:70.91, MSE:108.23, Best MAE:70.16
[2021-09-09 20:30:06,516], ## Epoch 108/500 Loss:25.070, MAE:73.01, MSE:106.84, Best MAE:70.16
[2021-09-09 20:36:08,918], ## Epoch 109/500 Loss:27.459, MAE:71.11, MSE:105.41, Best MAE:70.16
[2021-09-09 20:42:11,703], ## Epoch 110/500 Loss:20.961, MAE:76.27, MSE:108.59, Best MAE:70.16
[2021-09-09 20:48:13,853], ## Epoch 111/500 Loss:23.689, MAE:99.18, MSE:144.80, Best MAE:70.16
[2021-09-09 20:54:15,978], ## Epoch 112/500 Loss:28.635, MAE:73.10, MSE:107.78, Best MAE:70.16
[2021-09-09 21:00:18,413], ## Epoch 113/500 Loss:24.260, MAE:82.25, MSE:120.74, Best MAE:70.16
[2021-09-09 21:06:20,489], ## Epoch 114/500 Loss:25.380, MAE:94.66, MSE:134.82, Best MAE:70.16
[2021-09-09 21:12:21,591], ## Epoch 115/500 Loss:25.542, MAE:70.36, MSE:104.03, Best MAE:70.16
[2021-09-09 21:18:24,372], ## Epoch 116/500 Loss:23.542, MAE:78.87, MSE:113.87, Best MAE:70.16
[2021-09-09 21:24:28,640], ## Epoch 117/500 Loss:25.171, MAE:76.91, MSE:113.01, Best MAE:70.16
[2021-09-09 21:30:32,055], ## Epoch 118/500 Loss:26.286, MAE:90.44, MSE:131.97, Best MAE:70.16
[2021-09-09 21:36:38,294], ## Epoch 119/500 Loss:25.064, MAE:78.07, MSE:113.12, Best MAE:70.16
[2021-09-09 21:42:42,133], ## Epoch 120/500 Loss:21.691, MAE:92.66, MSE:135.51, Best MAE:70.16
[2021-09-09 21:48:45,581], ## Epoch 121/500 Loss:21.780, MAE:78.99, MSE:112.81, Best MAE:70.16
[2021-09-09 21:54:50,387], ## Epoch 122/500 Loss:23.463, MAE:81.29, MSE:119.74, Best MAE:70.16
[2021-09-09 22:00:55,421], ## Epoch 123/500 Loss:23.899, MAE:83.41, MSE:119.85, Best MAE:70.16
[2021-09-09 22:06:57,111], ## Epoch 124/500 Loss:27.349, MAE:77.46, MSE:110.73, Best MAE:70.16
[2021-09-09 22:12:59,165], ## Epoch 125/500 Loss:22.819, MAE:72.54, MSE:105.74, Best MAE:70.16
[2021-09-09 22:19:01,865], ## Epoch 126/500 Loss:24.641, MAE:92.31, MSE:134.62, Best MAE:70.16
[2021-09-09 22:25:06,034], ## Epoch 127/500 Loss:25.266, MAE:106.89, MSE:163.93, Best MAE:70.16
[2021-09-09 22:31:08,822], ## Epoch 128/500 Loss:25.004, MAE:72.27, MSE:102.86, Best MAE:70.16
[2021-09-09 22:37:08,821], ## Epoch 129/500 Loss:25.300, MAE:71.02, MSE:104.37, Best MAE:70.16
[2021-09-09 22:43:10,889], ## Epoch 130/500 Loss:18.974, MAE:86.58, MSE:125.63, Best MAE:70.16
